"词语" "次数"
"现成" 2
"琴" 2
"留" 2
"留下" 2
"疑" 2
"皮" 2
"盘" 2
"直" 2
"真心" 2
"稻香村" 2
"窗" 2
"立" 2
"笠" 2
"答应" 2
"算" 2
"红" 2
"纳闷" 2
"细细" 2
"结" 2
"绦" 2
"罕" 2
"老天" 2
"者" 2
"而" 2
"联" 2
"肉" 2
"自寻烦恼" 2
"自然" 2
"芦苇" 2
"蓑" 2
"薛蟠" 2
"蜂" 2
"衣" 2
"装" 2
"设" 2
"诗社" 2
"诧异" 2
"语" 2
"说笑" 2
"说话" 2
"谈" 2
"貂" 2
"赶" 2
"越" 2
"跟" 2
"这个" 2
"这话" 2
"进去" 2
"进来" 2
"远" 2
"那些" 2
"那边" 2
"配" 2
"酒" 2
"银子" 2
"闷" 2
"靴" 2
"领" 2
"题" 2
"颦儿" 2
"高兴" 2
"鼠" 2
"一两" 1
"一个月" 1
"一分" 1
"一只" 1
"一同" 1
"一声" 1
"一天" 1
"一尺" 1
"一层" 1
"一带" 1
"一把子四根" 1
"一早" 1
"一片砧敲千里白" 1
"一番" 1
"一番方" 1
"一碗" 1
"一群" 1
"一股" 1
"一路" 1
"一遍" 1
"一顶" 1
"七上八下" 1
"三句" 1
"三块" 1
"三家" 1
"三日" 1
"上任" 1
"上去" 1
"上房" 1
"上来" 1
"下回" 1
"下来" 1
"不一" 1
"不会" 1
"不但" 1
"不可" 1
"不合" 1
"不妨" 1
"不得" 1
"不得了" 1
"不曾" 1
"不然" 1
"不肯" 1
"不见" 1
"不许" 1
"不错" 1
"不顾" 1
"东家" 1
"丝" 1
"两" 1
"两位" 1
"两处" 1
"两日" 1
"中原" 1
"为人" 1
"为首" 1
"主意" 1
"举止" 1
"义" 1
"之上" 1
"之下" 1
"乌" 1
"乐" 1
"习" 1
"书房" 1
"乱" 1
"乱叫" 1
"了不得" 1
"事情" 1
"二丫头" 1
"云儿" 1
"五六两" 1
"井底之蛙" 1
"交" 1
"亭" 1
"亮" 1
"亲家" 1
"人人" 1
"今年" 1
"他家" 1
"仗" 1
"以" 1
"以为" 1
"伏" 1
"似的" 1
"但" 1
"何妨" 1
"何物" 1
"余" 1
"作践" 1
"使得" 1
"侯" 1
"俏丽" 1
"保" 1
"保养" 1
"俱" 1
"倘" 1
"倘或" 1
"借问" 1
"傍" 1
"催" 1
"傻子" 1
"僻" 1
"兄妹" 1
"先是" 1
"光景" 1
"光辉" 1
"兜" 1
"八" 1
"兴" 1
"兴旺" 1
"其中" 1
"典" 1
"养活" 1
"写" 1
"冷" 1
"冷眼" 1
"冷笑" 1
"几" 1
"几句" 1
"几间" 1
"凤丫头" 1
"凫" 1
"出类拔萃" 1
"出题" 1
"分外" 1
"分子" 1
"分解" 1
"列" 1
"则" 1
"刚好" 1
"别的" 1
"刻" 1
"前去" 1
"前头" 1
"割" 1
"劝" 1
"劝慰" 1
"加" 1
"劫" 1
"势" 1
"包" 1
"包管" 1
"十三个" 1
"十二个" 1
"十五六七岁" 1
"十倍" 1
"十六" 1
"十数株" 1
"半" 1
"半日" 1
"半路" 1
"半轮鸡唱五更残" 1
"博得" 1
"卦" 1
"即景" 1
"厌" 1
"厚" 1
"去向" 1
"双" 1
"发放" 1
"发烧" 1
"叔伯" 1
"取笑" 1
"受" 1
"口里" 1
"另外" 1
"只得" 1
"只怕" 1
"可以" 1
"可惜" 1
"可见" 1
"史" 1
"史鼐" 1
"右" 1
"叹" 1
"吃喝" 1
"合" 1
"同年" 1
"同日" 1
"同时" 1
"同月" 1
"同胞" 1
"同行" 1
"名" 1
"名士" 1
"君" 1
"呆" 1
"告" 1
"命苦" 1
"咽" 1
"哥哥" 1
"唣" 1
"唤" 1
"嘲笑" 1
"嘻" 1
"嘻笑" 1
"嚷" 1
"嚼" 1
"四个" 1
"四面" 1
"回" 1
"回复" 1
"回头" 1
"因素" 1
"因而" 1
"园子" 1
"土" 1
"地" 1
"坏" 1
"坐" 1
"块" 1
"垂" 1
"垂钓" 1
"埋怨" 1
"墙上" 1
"壁" 1
"声" 1
"声色" 1
"外头" 1
"外省" 1
"夜" 1
"大会" 1
"大作" 1
"大半" 1
"大名" 1
"大员" 1
"大概" 1
"大爷" 1
"大雪" 1
"天下" 1
"天天" 1
"天日" 1
"央告" 1
"夺目" 1
"奇事" 1
"契" 1
"套" 1
"女" 1
"奸" 1
"好些" 1
"好容易" 1
"好生" 1
"如意" 1
"妇人" 1
"妹" 1
"姊" 1
"姓" 1
"委" 1
"委曲" 1
"姨太太" 1
"婚" 1
"婶子" 1
"婶母" 1
"嫁" 1
"嫂嫂" 1
"嫦娥" 1
"孙子" 1
"孤单" 1
"孩子" 1
"守本分" 1
"守节" 1
"安" 1
"安插" 1
"宝钗黛玉" 1
"实据" 1
"审度" 1
"客" 1
"宫" 1
"家中" 1
"家住" 1
"家眷" 1
"寒" 1
"寝" 1
"对襟" 1
"寻" 1
"小小" 1
"尚未" 1
"尽" 1
"屉" 1
"屋内" 1
"屐" 1
"山坡" 1
"山脚" 1
"岁" 1
"工" 1
"左" 1
"巧" 1
"差" 1
"巴不得" 1
"帐子" 1
"带来" 1
"帽" 1
"干" 1
"干净" 1
"平素" 1
"庚" 1
"府" 1
"度" 1
"开" 1
"异" 1
"异常" 1
"式" 1
"弟兄" 1
"弱" 1
"当" 1
"当下" 1
"当年" 1
"形" 1
"影自娟娟魄自寒" 1
"往时" 1
"很" 1
"心性" 1
"心肠" 1
"心酸" 1
"必" 1
"怕" 1
"怜" 1
"怠慢" 1
"怡" 1
"性急" 1
"性情" 1
"恐" 1
"悄" 1
"惜春" 1
"意思" 1
"意趣" 1
"愿意" 1
"房舍" 1
"手上" 1
"扫雪" 1
"扯" 1
"扶" 1
"拂" 1
"拉" 1
"拟题" 1
"拥" 1
"拭泪" 1
"换上" 1
"据" 1
"掀开" 1
"掏" 1
"掐" 1
"排律" 1
"接风" 1
"揌" 1
"提" 1
"提名" 1
"揭" 1
"搓" 1
"撑" 1
"收看" 1
"敁" 1
"故" 1
"故事" 1
"故意" 1
"教" 1
"敠" 1
"敢" 1
"散" 1
"文章" 1
"斗" 1
"料" 1
"断" 1
"方才" 1
